home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,dk_spread_home,fd_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Florida International,Jacksonville State,1.5643644776695083,0.5497972667217255,0.5504663487275442,51.028534,6,6,-13.6,-8.0,,,0,1.5,1.5,-1.5,3.0643644776695083,0.01,-110.0,0.5238095238095238,0.025987742912201628,0.01,55.5,-4.471466064453125,0.01
Notre Dame,Syracuse,38.110770392056,0.9674667318662008,0.6409790714581808,55.711052,7,14,22.5,-8.1,,,0,-36.5,-36.5,-35.5,1.610770392055997,0.008053851960279985,,,,0.0,50.5,5.211051940917969,0.01
Vanderbilt,Kentucky,9.959146896033971,0.8356331388155619,0.5811861654122671,53.213245,13,7,16.5,5.4,,,0,-8.5,-8.5,-8.5,1.459146896033971,0.007295734480169855,-355.0,0.7802197802197802,0.05541335859578167,0.01,54.5,-1.2867546081542969,0.0064337730407714845
UCF,Oklahoma State,12.940976602231432,0.8802929321924845,0.8178682128588358,51.152058,7,7,3.8,-17.5,,,0,-13.5,-13.5,-13.5,-0.5590233977685681,0.0027951169888428408,-520.0,0.8387096774193549,0.04158325477312963,0.01,47.5,3.652057647705078,0.01
Troy,Georgia State,12.813556210982709,0.8571938077608744,0.6919314463933309,49.53619,8,7,-3.8,-22.1,,,0,-10.0,-10.0,-10.5,2.813556210982709,0.01,-395.0,0.797979797979798,0.05921400978107638,0.01,50.5,-0.9638099670410156,0.0048190498352050784
South Carolina,Coastal Carolina,11.733557854703234,0.8359125057856241,0.708391010761261,58.629448,7,6,3.6,-8.9,,,0,-24.5,-24.5,-23.5,-12.766442145296766,0.0,-3200.0,0.9696969696969697,-0.13378446391134557,0.0,49.5,9.129447937011719,0.01
Texas State,UL Monroe,14.758739261480937,0.8906317750612894,0.7705881794293722,56.01217,7,7,-6.7,-19.8,,,0,-19.5,-19.5,-19.5,-4.741260738519063,0.01,-1350.0,0.9310344827586207,-0.04040270769733123,0.0,58.5,-2.4878311157226562,0.01
Air Force,New Mexico,3.952547560866482,0.6194520990053812,0.5586840113004049,50.631847,7,7,-3.8,-2.6,,,0,4.0,4.0,3.5,7.952547560866482,0.0,140.0,0.4166666666666667,0.20278543233871454,0.01,54.5,-3.868152618408203,0.01
Stanford,California,2.6043053614042573,0.5825199782848358,0.5800812542438507,45.79365,14,14,-11.2,-2.8,,,0,3.5,3.5,3.5,6.104305361404258,0.01,140.0,0.4166666666666667,0.16585331161816913,0.01,47.5,-1.7063484191894531,0.008531742095947266
LSU,Western Kentucky,26.413306157860287,0.9861358404159546,0.8740981419881185,52.120502,7,7,11.4,-0.9,,,0,-21.5,-21.5,-21.5,4.913306157860287,0.01,-2100.0,0.9545454545454546,0.031590385870500004,0.01,50.5,1.6205024719238281,0.008102512359619141
Fresno State,Utah State,-3.5040007846875456,0.3937576512495677,0.3566160400708516,47.430767,7,7,-2.9,-2.7,,,0,-2.5,-2.5,-2.5,-6.004000784687546,0.01,-142.0,0.5867768595041323,-0.1930192082545646,0.0,50.5,-3.069232940673828,0.01
