home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total
Catawba,Ferrum,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Wingate,UNC Pembroke,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
North Carolina Central,New Hampshire,2.6424879135536026,0.2333615372578303,0.4507233003775279,49.41376
Frostburg State,Shepherd,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Stetson,Webber International,12.381082291508221,0.7954292893409729,0.40406057238578796,52.06442
Savannah St,Edward Waters,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
West Alabama,Fort Valley State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Lincoln (MO),Lincoln (CA),3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Missouri S&T,Central Methodist,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
UT Permian Basin,Central Oklahoma,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Bluefield State,Greeneville,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Incarnate Word,Eastern Washington,8.839805045439146,0.5355684955914816,0.46917401750882465,55.403835
McNeese,Louisiana College,12.277786927457749,0.7934695879618326,0.4878699978192647,52.06442
Grambling,Langston University,12.950205682780513,0.8060266574223837,0.48210984468460083,52.06442
Kansas State,North Dakota,26.493019240291087,0.8986598054567972,0.4732382893562317,56.45188
South Alabama,Morgan State,28.946654539577533,0.9859421253204346,0.5118775367736816,51.896404
Troy,Nicholls,20.790214972849423,0.9824835856755575,0.5737832387288412,49.667374
Florida,Long Island University,47.61230964730366,0.991614818572998,0.522921492656072,61.874584
South Dakota State,Sacramento State,10.633685212866462,0.6776988903681437,0.47697216272354126,57.232754
Vanderbilt,Charleston Southern,41.67109697454777,0.9965899387995402,0.5966710448265076,53.95644
Texas A&M,UTSA,28.6697485617329,0.9859421253204346,0.6666976014773051,59.245144
Arkansas State,Southeast Missouri State,16.812402442529578,0.9788410266240438,0.534860372543335,58.827793
Southern Illinois,Thomas More College,8.508888192440564,0.71473095814387,0.4732382893562317,52.304592
Middle Tennessee,Austin Peay,10.035370446598538,0.4406355122725169,0.3578137755393982,53.9608
Western Kentucky,North Alabama,30.968610284635215,0.9853728810946146,0.5914360880851746,60.39301
Michigan,New Mexico,30.84949702603463,0.9342682957649231,0.38942886392275494,50.82985
Texas Tech,Arkansas-Pine Bluff,61.524597347034685,0.9965899387995402,0.6802172859509786,65.43969
USC,Missouri State,39.24792639323554,0.9859421253204346,0.590563158194224,61.241264
Louisiana Tech,SE Louisiana,16.002873490216523,0.9779024720191956,0.5399038791656494,51.353115
Utah State,UTEP,6.214026479945276,0.8216489752133688,0.5524478157361349,58.499855
Clemson,LSU,3.624146461032881,0.40724604328473407,0.45023925105730694,55.144505
Ole Miss,Georgia State,38.183064898023126,0.9859421253204346,0.6802172859509786,61.61539
San Diego,Cal Poly,-0.21289845738199276,0.2742447704076767,0.4545423090457916,47.53552
UT Rio Grande Valley,Sul Ross State,10.115474405317464,0.7499603430430094,0.4653550088405609,52.404335
Texas Southern,Prairie View A&M,-1.0992791733928504,0.3071225931247075,0.4312135974566142,47.214275
Texas State,Eastern Michigan,14.224714042757173,0.8628409306208292,0.5068956514199575,56.327526
Tulsa,Abilene Christian,4.089805045439146,0.6210100650787354,0.46917401750882465,58.735416
North Texas,Lamar,31.49025451078777,0.9898331761360168,0.6048869291941324,62.32723
Western New Mexico,Adams State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Louisiana,Rice,5.291652582876622,0.6382324496905009,0.38952529430389404,49.339058
Missouri Southern State,Midwestern State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
