home_team,away_team,fair_spread_home,p_home_win,fair_total,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Post University,American International,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Maine,Bryant,-0.901922345161438,0.5644230246543884,53.094242,13.5,-14.401922345161438,0.0,,,,0.0,57.5,-4.405757904052734,0.01
Southern Illinois,Youngstown State,-0.2922674814860031,0.5208762486775717,53.03434,0.5,-0.7922674814860031,0.003961337407430016,,,,0.0,54.5,-1.4656600952148438,0.0073283004760742185
Stetson,Marist,-0.901922345161438,0.5644230246543884,53.094242,0.5,-1.401922345161438,0.00700961172580719,,,,0.0,53.5,-0.4057579040527344,0.002028789520263672
Grove City College,Case Western Reserve,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Saint Vincent,Bethany (WV),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
East Stroudsburg University,Shepherd,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
William Paterson,College Of New Jersey,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Slippery Rock,Seton Hill,-0.8384593327840164,0.5598899523417155,52.097424,,,0.0,,,,0.0,,,0.0
Averett,Guilford College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Wisconsin-Lacrosse,Wisconsin-Whitewater,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Wisconsin-River Falls,Wisconsin-Stevens Pt,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Belhaven,Lagrange College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Pace,Assumption,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Randolph-Macon,Ferrum,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Berry College,Millsaps,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Geneva,Westminster (PA),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Shenandoah,Hampden-Sydney,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Waynesburg,Thiel,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Bluefield State,Elizabeth City State,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
UNC Pembroke,Frostburg State,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
St. Anselm,New Haven,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Glenville State,West Virginia State,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
West Virginia Wesleyan,University Of Charleston (WV),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Franklin Pierce,Bentley,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
VMI,Mercer,-0.7886278629302979,0.5563305616378784,53.130325,-21.0,20.211372137069702,0.0,,,,0.0,47.5,5.6303253173828125,0.01
Wingate,Newberry,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
University of Mount Union,Marietta,-5.56344203154246,0.8973887165387472,55.30857,,,0.0,,,,0.0,,,0.0
Manchester,Mount St. Joseph,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Bluffton,Franklin,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Anderson (IN),Rose-Hulman,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Gardner-Webb,Eastern Illinois,-0.7886278629302979,0.5563305616378784,53.130325,5.5,-6.288627862930298,0.01,,,,0.0,54.5,-1.3696746826171875,0.0068483734130859375
John Carroll University,Otterbein,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Baldwin Wallace,Ohio Northern,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Muskingum University,Capital,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Wilmington (OH),Heidelberg,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Charleston Southern,UT Martin,-0.7886278629302979,0.5563305616378784,53.130325,-17.5,16.711372137069702,0.0,,,,0.0,45.5,7.6303253173828125,0.01
Valparaiso,Butler,-0.9829772710800171,0.5702126622200012,52.571262,-14.5,13.517022728919983,0.0,,,,0.0,45.5,7.071262359619141,0.01
West Florida,North Greenville,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Ripon,Beloit,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Loras College,Nebraska Wesleyan,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Augustana University (SD),Sioux Falls,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Sewanee,Hendrix College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Hilbert College,Utica,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Martin Luther,Crown College,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Bridgewater (VA),Washington and Lee,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Lindenwood,Southeast Missouri State,-0.8384593327840164,0.5598899523417155,54.79242,-17.0,16.161540667215984,0.0,,,,0.0,56.5,-1.70758056640625,0.00853790283203125
Saint John's (MN),St. Olaf,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Northern Colorado,Eastern Washington,-0.2922674814860031,0.5208762486775717,53.03434,-13.5,13.207732518513996,0.0,,,,0.0,60.5,-7.465660095214844,0.01
The Citadel,Chattanooga,-0.9829772710800171,0.5702126622200012,52.571262,-14.0,13.017022728919983,0.0,,,,0.0,44.5,8.07126235961914,0.01
South Dakota,Indiana State,-5.954551339149475,0.9253250956535339,57.092045,31.0,-36.954551339149475,0.0,,,,0.0,45.5,11.592044830322266,0.0
North Dakota,South Dakota State,2.362294693787893,0.3312646647294362,55.33896,-17.0,19.36229469378789,0.0,,,,0.0,55.5,-0.161041259765625,0.000805206298828125
Hardin-Simmons,Mary Hardin-Baylor,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Southwest Baptist,Quincy,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
McKendree,Upper Iowa University,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
St. Thomas (MN),Drake,-0.901922345161438,0.5644230246543884,53.094242,-4.5,3.598077654838562,0.01,,,,0.0,42.5,10.594242095947266,0.0
Northern Iowa,Illinois State,-0.8384593327840164,0.5598899523417155,52.998257,-2.5,1.6615406672159836,0.008307703336079919,,,,0.0,52.5,0.4982566833496094,0.002491283416748047
Murray State,Missouri State,-0.901922345161438,0.5644230246543884,53.094242,-24.0,23.098077654838562,0.0,,,,0.0,58.5,-5.405757904052734,0.01
Thomas More College,Kentucky Wesleyan,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Benedict College,Savannah St,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Western Illinois,Tennessee State,-0.7886278629302979,0.5563305616378784,53.130325,-4.0,3.211372137069702,0.01,,,,0.0,62.5,-9.369674682617188,0.01
Tuskegee,Miles College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Furman,Wofford,-0.901922345161438,0.5644230246543884,53.094242,4.5,-5.401922345161438,0.01,,,,0.0,42.5,10.594242095947266,0.0
Wisconsin-Platteville,Wisconsin-Eau Claire,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Western New Mexico,Texas A&M-Kingsville,-0.9829772710800171,0.5702126622200012,53.007145,,,0.0,,,,0.0,,,0.0
Millikin,Wheaton,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
West Georgia,Tarleton State,-0.7886278629302979,0.5563305616378784,53.130325,-8.5,7.711372137069702,0.0,,,,0.0,53.5,-0.3696746826171875,0.0018483734130859376
Illinois College,Cornell College (IA),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Fort Valley State,Albany State GA,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Coe College,Simpson College (IA),-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Carleton,Gustavus Adolphus,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Dubuque,Wartburg,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Howard Payne,East Texas Baptist University,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Concordia Moorhead,Bethel (MN),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Chicago,Grinnell,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Trinity University TX,Southwestern University,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Henderson State,Southwestern Oklahoma State,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
South Dakota Mines,Colorado Mesa,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
